time	                CAC40
31/05/1989 02:00	1729.65
01/06/1989 02:00	1738.02
02/06/1989 02:00	1764.35
05/06/1989 02:00	1764.6
06/06/1989 02:00	1755.56
07/06/1989 02:00	1755.16
08/06/1989 02:00	1760.73
09/06/1989 02:00	1758.3
12/06/1989 02:00	1751.04
13/06/1989 02:00	1749.81
14/06/1989 02:00	1745.65
15/06/1989 02:00	1739.74
16/06/1989 02:00	1722.28
19/06/1989 02:00	1718.74
20/06/1989 02:00	1739.56
21/06/1989 02:00	1737.59
22/06/1989 02:00	1739.04
23/06/1989 02:00	1760.36
26/06/1989 02:00	1760.1
27/06/1989 02:00	1758.48
28/06/1989 02:00	1752.4
29/06/1989 02:00	1731.99
30/06/1989 02:00	1727.86
03/07/1989 02:00	1737.45
04/07/1989 02:00	1741.09
05/07/1989 02:00	1737.16
06/07/1989 02:00	1737.35
07/07/1989 02:00	1729
10/07/1989 02:00	1728.31
11/07/1989 02:00	1754.46
13/07/1989 02:00	1755.18
17/07/1989 02:00	1766.42
18/07/1989 02:00	1754.65
19/07/1989 02:00	1765.6
20/07/1989 02:00	1773.7
24/07/1989 02:00	1785.48
25/07/1989 02:00	1791.15
26/07/1989 02:00	1791.83
27/07/1989 02:00	1815.85
28/07/1989 02:00	1824.24
31/07/1989 02:00	1814.19
01/08/1989 02:00	1829.63
02/08/1989 02:00	1828.64
03/08/1989 02:00	1825.46
04/08/1989 02:00	1816.92
07/08/1989 02:00	1804.69
08/08/1989 02:00	1817.16
09/08/1989 02:00	1820.85
10/08/1989 02:00	1818.46
11/08/1989 02:00	1828.31
16/08/1989 02:00	1829
17/08/1989 02:00	1825.8
18/08/1989 02:00	1814.68
21/08/1989 02:00	1815.5
22/08/1989 02:00	1807.15
23/08/1989 02:00	1817
24/08/1989 02:00	1845.53
25/08/1989 02:00	1864.9
28/08/1989 02:00	1854
29/08/1989 02:00	1855.2
30/08/1989 02:00	1859.7
31/08/1989 02:00	1875.92
01/09/1989 02:00	1885.2
04/09/1989 02:00	1898.46
05/09/1989 02:00	1896.42
06/09/1989 02:00	1891.39
07/09/1989 02:00	1909.81
08/09/1989 02:00	1909.34
11/09/1989 02:00	1907.46
12/09/1989 02:00	1899.72
13/09/1989 02:00	1901.05
14/09/1989 02:00	1889.62
15/09/1989 02:00	1892.17
18/09/1989 02:00	1892.71
19/09/1989 02:00	1894.44
20/09/1989 02:00	1894
21/09/1989 02:00	1897.37
22/09/1989 02:00	1914.05
25/09/1989 01:00	1906.46
26/09/1989 01:00	1919.69
27/09/1989 01:00	1930.61
28/09/1989 01:00	1933.88
29/09/1989 01:00	1906.12
02/10/1989 01:00	1876.24
03/10/1989 01:00	1902.72
04/10/1989 01:00	1918.14
05/10/1989 01:00	1918.41
06/10/1989 01:00	1942.42
09/10/1989 01:00	1942.54
10/10/1989 01:00	1961.74
11/10/1989 01:00	1927.95
12/10/1989 01:00	1932.8
13/10/1989 01:00	1931.27
16/10/1989 01:00	1809.81
17/10/1989 01:00	1805.69
18/10/1989 01:00	1828.13
19/10/1989 01:00	1875.05
20/10/1989 01:00	1864.32
23/10/1989 01:00	1865.54
24/10/1989 01:00	1832.88
25/10/1989 01:00	1826.81
26/10/1989 01:00	1815.99
27/10/1989 01:00	1768.27
30/10/1989 01:00	1804.99
31/10/1989 01:00	1819.51
02/11/1989 01:00	1820.58
03/11/1989 01:00	1806.33
06/11/1989 01:00	1782.92
07/11/1989 01:00	1770.97
08/11/1989 01:00	1784.55
09/11/1989 01:00	1801.09
10/11/1989 01:00	1820.33
13/11/1989 01:00	1819.51
14/11/1989 01:00	1814.52
15/11/1989 01:00	1816.63
16/11/1989 01:00	1830.01
17/11/1989 01:00	1837.66
20/11/1989 01:00	1834.5
21/11/1989 01:00	1825.21
22/11/1989 01:00	1837.19
23/11/1989 01:00	1843.56
24/11/1989 01:00	1858.09
27/11/1989 01:00	1863.81
28/11/1989 01:00	1860.24
29/11/1989 01:00	1872.3
30/11/1989 01:00	1890.43
01/12/1989 01:00	1919.72
04/12/1989 01:00	1939.09
05/12/1989 01:00	1939.26
06/12/1989 01:00	1960.29
07/12/1989 01:00	1959.27
08/12/1989 01:00	1979.29
11/12/1989 01:00	1971.09
12/12/1989 01:00	1972.01
13/12/1989 01:00	1960.42
14/12/1989 01:00	1954.62
15/12/1989 01:00	1949.42
18/12/1989 01:00	1945.74
19/12/1989 01:00	1932.02
20/12/1989 01:00	1951.31
21/12/1989 01:00	1976.83
22/12/1989 01:00	1981.37
26/12/1989 01:00	1977.49
27/12/1989 01:00	1985.66
28/12/1989 01:00	1998.83
29/12/1989 01:00	2001.08
02/01/1990 01:00	1988.85
03/01/1990 01:00	1979.89
04/01/1990 01:00	2006.42
05/01/1990 01:00	1994.36
08/01/1990 01:00	1968.95
09/01/1990 01:00	1970.28
10/01/1990 01:00	1970.38
11/01/1990 01:00	1992.89
12/01/1990 01:00	1968.65
15/01/1990 01:00	1962.89
16/01/1990 01:00	1935.21
17/01/1990 01:00	1953.14
18/01/1990 01:00	1934.72
19/01/1990 01:00	1925.95
22/01/1990 01:00	1915.82
23/01/1990 01:00	1912.36
24/01/1990 01:00	1881.73
25/01/1990 01:00	1893.23
26/01/1990 01:00	1886.75
29/01/1990 01:00	1904.71
30/01/1990 01:00	1892.03
31/01/1990 01:00	1882.88
01/02/1990 01:00	1895.5
02/02/1990 01:00	1924.7
05/02/1990 01:00	1926.14
06/02/1990 01:00	1916.33
07/02/1990 01:00	1895.24
08/02/1990 01:00	1905.51
09/02/1990 01:00	1898.25
12/02/1990 01:00	1867.4
13/02/1990 01:00	1845.43
14/02/1990 01:00	1853.99
15/02/1990 01:00	1856.86
16/02/1990 01:00	1871.12
19/02/1990 01:00	1838.03
20/02/1990 01:00	1820.16
21/02/1990 01:00	1803.79
22/02/1990 01:00	1836.91
23/02/1990 01:00	1803.62
26/02/1990 01:00	1804.1
27/02/1990 01:00	1825.38
28/02/1990 01:00	1849.68
01/03/1990 01:00	1832.44
02/03/1990 01:00	1860.48
05/03/1990 01:00	1874.43
06/03/1990 01:00	1872.3
07/03/1990 01:00	1880.57
08/03/1990 01:00	1917.99
09/03/1990 01:00	1921.11
12/03/1990 01:00	1912.59
13/03/1990 01:00	1924.3
14/03/1990 01:00	1946.37
15/03/1990 01:00	1964.47
16/03/1990 01:00	1958.82
19/03/1990 01:00	1936.96
20/03/1990 01:00	1925.39
21/03/1990 01:00	1937.18
22/03/1990 01:00	1914.11
23/03/1990 01:00	1943.83
26/03/1990 02:00	1964.16
27/03/1990 02:00	1945.96
28/03/1990 02:00	1939.33
